date,open,high,low,close,volume,amount,code,name,type
2026-01-27,10.743,10.81,10.716,10.793,48463181,521136914,518800,黄金ETF,gold
2026-01-28,10.991,11.149,10.961,11.141,79888500,885964832,518800,黄金ETF,gold
2026-01-29,11.693,11.849,11.682,11.753,112059789,1316533863,518800,黄金ETF,gold
2026-01-30,11.303,11.58,10.815,10.891,201066023,2224869226,518800,黄金ETF,gold
2026-02-02,9.802,10.118,9.802,9.802,106469646,1062130394,518800,黄金ETF,gold
2026-02-03,10.232,10.331,9.99,10.295,136687713,1388145480,518800,黄金ETF,gold
2026-02-04,10.74,10.774,10.594,10.732,105379900,1126742477,518800,黄金ETF,gold
2026-02-05,10.54,10.568,10.175,10.394,143231500,1487174770,518800,黄金ETF,gold
2026-02-06,9.94,10.391,9.92,10.234,139484795,1424480271,518800,黄金ETF,gold
2026-02-09,10.6,10.622,10.49,10.594,92202500,973701661,518800,黄金ETF,gold
2026-02-10,10.588,10.604,10.531,10.548,46972607,496274694,518800,黄金ETF,gold
2026-02-11,10.573,10.636,10.573,10.634,48544300,514838557,518800,黄金ETF,gold
2026-02-12,10.613,10.622,10.588,10.592,55347200,586972448,518800,黄金ETF,gold
2026-02-13,10.463,10.484,10.383,10.448,69710900,727935140,518800,黄金ETF,gold
